County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Onondaga,Manlius Town PD,2017,12,358,17,0,5,4,8,341,52,285,4,Non-New York City
Orange,Blooming Grove Town PD,2017,12,73,11,0,0,1,10,62,19,39,4,Non-New York City
Westchester,Lewisboro Town PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Erie,SUNY Police - Buffalo,2013,12,381,11,0,1,5,5,370,47,319,4,Non-New York City
Cortland,SUNY Police - Cortland,2010,12,81,4,0,0,0,4,77,20,56,1,Non-New York City
Albany,Albany County State Police,2017,12,185,21,0,18,1,2,164,5,155,4,Non-New York City
Washington,County Total,2012,,970,78,7,11,7,53,892,236,624,32,Non-New York City
Oneida,Oriskany Vg PD,2017,12,12,1,0,0,0,1,11,5,6,0,Non-New York City
St Lawrence,Massena Vg PD,2015,12,467,20,0,3,6,11,447,57,379,11,Non-New York City
Suffolk,SUNY Police - Farmingdale,2012,12,47,1,0,0,1,0,46,2,43,1,Non-New York City
Livingston,Livingston County State Police,2017,12,48,19,0,9,1,9,29,4,23,2,Non-New York City
Erie,Tonawanda City PD,2017,12,356,45,0,12,7,26,311,51,249,11,Non-New York City
Greene,County Total,2011,,831,105,0,8,7,90,726,206,491,29,Non-New York City
Onondaga,Baldwinsville Vg PD,2017,12,73,6,0,2,0,4,67,9,55,3,Non-New York City
Albany,Albany County Park PD,2015,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Cortland,SUNY Police - Cortland,2011,12,78,2,0,1,0,1,76,13,63,0,Non-New York City
Nassau,Long Beach City PD,2017,12,220,21,0,0,9,12,199,11,180,8,Non-New York City
Westchester,Pleasantville Vg PD,2017,12,51,1,0,0,0,1,50,5,44,1,Non-New York City
Wayne,Wolcott Vg PD,2017,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Erie,SUNY Police - Buffalo,2011,12,391,9,0,2,3,4,382,67,309,6,Non-New York City
Rockland,Rockland County Park PD,2017,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Steuben,Hornell City PD,2017,12,104,4,0,0,0,4,100,8,91,1,Non-New York City
Oneida,New York Mills Vg PD,2017,12,39,2,0,0,1,1,37,3,32,2,Non-New York City
Chenango,Chenango County State Police,2017,12,182,39,1,26,1,11,143,41,99,3,Non-New York City
Orange,Cornwall Town PD,2017,12,23,2,0,0,0,2,21,4,17,0,Non-New York City
Onondaga,County Total,2016,,11116,1415,34,156,398,827,9701,1684,7505,512,Non-New York City
Saratoga,Waterford Town and Vg PD,2017,12,46,5,0,0,2,3,41,9,28,4,Non-New York City
Onondaga,Cicero Town PD,2017,12,286,12,0,1,0,11,274,30,232,12,Non-New York City
Allegany,SUNY Police - Alfred,2015,12,55,3,0,2,0,1,52,7,44,1,Non-New York City
Ulster,Shandaken Town PD,2017,12,32,1,0,0,0,1,31,7,23,1,Non-New York City
Jefferson,County Total,2016,,2379,281,2,92,17,170,2098,351,1698,49,Non-New York City
Cattaraugus,Allegany Vg PD,2017,12,13,1,0,0,0,1,12,3,9,0,Non-New York City
Warren,Bolton Town PD,2017,12,7,1,0,0,0,1,6,1,5,0,Non-New York City
Seneca,Interlaken Vg PD,2017,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Saratoga,Saratoga County Park PD,2017,12,20,4,0,0,1,3,16,0,16,0,Non-New York City
Chautauqua,Lakewood-Busti PD,2017,12,337,3,0,1,1,1,334,23,305,6,Non-New York City
Niagara,County Total,2011,,7232,810,5,64,230,511,6422,1606,4522,294,Non-New York City
St Lawrence,SUNY Police - Potsdam,2010,12,59,0,0,0,0,0,59,9,50,0,Non-New York City
Broome,SUNY Police - Binghamton,2016,12,175,9,0,4,2,3,166,10,156,0,Non-New York City
Erie,County Total,2017,,23371,3463,46,251,1111,2055,19908,3755,15013,1140,Non-New York City
St Lawrence,Canton Vg PD,2017,12,23,1,0,0,0,1,22,6,15,1,Non-New York City
Chautauqua,Dunkirk City PD,2017,12,239,43,1,1,13,28,196,40,151,5,Non-New York City
Rensselaer,Rensselaer County Park PD,2016,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Oneida,Whitesboro Vg PD,2017,12,36,0,0,0,0,0,36,4,31,1,Non-New York City
Schuyler,County Total,2017,,70,15,0,11,0,4,55,13,40,2,Non-New York City
Clinton,Plattsburgh City PD,2016,12,418,37,0,10,2,25,381,44,334,3,Non-New York City
Livingston,SUNY Police - Geneseo,2012,12,123,0,0,0,0,0,123,10,112,1,Non-New York City
Essex,County Total,2016,,395,57,0,22,1,34,338,99,231,8,Non-New York City
St Lawrence,SUNY Police - Canton,2012,12,66,0,0,0,0,0,66,2,64,0,Non-New York City
St Lawrence,SUNY Police - Canton,2015,12,32,1,0,1,0,0,31,1,29,1,Non-New York City
Suffolk,SUNY Police - Farmingdale,2008,11,41,0,0,0,0,0,41,2,39,0,Non-New York City
Orange,Wallkill Town PD,2017,12,697,65,0,6,17,42,632,30,581,21,Non-New York City
Westchester,Buchanan Vg PD,2014,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Broome,SUNY Police - Binghamton,2012,12,197,5,0,2,0,3,192,19,172,1,Non-New York City
Montgomery,Montgomery County Sheriff,2012,12,421,19,0,4,3,12,402,46,351,5,Non-New York City
Onondaga,DeWitt Town PD,2017,12,763,48,1,4,17,26,715,78,617,20,Non-New York City
Clinton,Clinton County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cattaraugus,Ellicottville Town PD,2016,12,8,0,0,0,0,0,8,0,8,0,Non-New York City
Orange,County Total,2010,,9079,996,17,51,338,590,8083,1230,6614,239,Non-New York City
St Lawrence,St Lawrence County Park PD,2017,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Nassau,Great Neck Estates Vg PD,2017,12,7,0,0,0,0,0,7,3,4,0,Non-New York City
Onondaga,SUNY Police - Upstate Medical,2013,12,119,3,0,0,1,2,116,2,114,0,Non-New York City
Herkimer,Herkimer County Sheriff,2017,12,6,6,0,0,0,6,0,0,0,0,Non-New York City
Erie,Lancaster Town PD,2017,12,429,23,0,4,5,14,406,48,350,8,Non-New York City
Onondaga,SUNY Police - Upstate Medical,2010,12,99,2,0,0,0,2,97,1,95,1,Non-New York City
Suffolk,SUNY Police - Farmingdale,2017,12,37,1,0,0,1,0,36,0,33,3,Non-New York City
Schenectady,Schenectady County Sheriff,2017,12,16,0,0,0,0,0,16,4,11,1,Non-New York City
Broome,SUNY Police - Binghamton,2010,12,179,0,0,0,0,0,179,12,167,0,Non-New York City
Oneida,Vernon Vg PD,2017,12,22,1,0,0,0,1,21,0,21,0,Non-New York City
Schenectady,Schenectady County State Police,2017,12,54,11,0,5,2,4,43,2,37,4,Non-New York City
Ulster,SUNY Police - New Paltz,2017,12,30,2,0,1,0,1,28,4,24,0,Non-New York City
Otsego,SUNY Police - Oneonta,2017,12,58,5,0,4,0,1,53,5,48,0,Non-New York City
Chemung,County Total,2017,,1567,143,4,28,32,79,1424,185,1205,34,Non-New York City
Madison,Oneida City PD,2011,12,518,17,0,3,3,11,501,76,416,9,Non-New York City
Montgomery,County Total,2016,,1023,83,1,29,14,39,940,152,770,18,Non-New York City
Herkimer,Dolgeville Vg PD,2017,12,18,2,0,1,0,1,16,3,13,0,Non-New York City
Ulster,SUNY Police - New Paltz,2009,12,109,7,0,1,1,5,102,12,90,0,Non-New York City
Oneida,SUNY Police - Polytechnic Institute,2016,12,9,2,0,1,0,1,7,0,7,0,Non-New York City
Greene,Athens Vg PD,2011,12,2,1,0,0,0,1,1,0,1,0,Non-New York City
Chautauqua,SUNY Police - Fredonia,2011,12,65,0,0,0,0,0,65,17,48,0,Non-New York City
Columbia,Chatham Vg PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Erie,Amherst Town PD,2017,12,1992,124,0,13,51,60,1868,195,1632,41,Non-New York City
Onondaga,SUNY Police - Environmental Science,2012,12,16,0,0,0,0,0,16,1,15,0,Non-New York City
Dutchess,Hyde Park Town PD,2017,12,116,10,0,1,1,8,106,20,84,2,Non-New York City
Livingston,Livingston County Sheriff,2017,12,325,18,0,9,1,8,307,36,254,17,Non-New York City
Westchester,Pelham Manor Vg PD,2015,12,99,8,0,0,6,2,91,3,88,0,Non-New York City
Broome,Port Dickinson Vg PD,2017,12,16,0,0,0,0,0,16,1,15,0,Non-New York City
St Lawrence,SUNY Police - Potsdam,2013,12,57,2,0,2,0,0,55,3,50,2,Non-New York City
Chenango,New Berlin Town PD,2017,12,17,0,0,0,0,0,17,4,13,0,Non-New York City
Westchester,Dobbs Ferry Vg PD,2017,12,93,4,0,0,1,3,89,4,85,0,Non-New York City
Suffolk,SUNY Police - Farmingdale,2011,12,41,0,0,0,0,0,41,0,40,1,Non-New York City
Schoharie,SUNY Police - Cobleskill,2012,12,56,3,0,2,0,1,53,17,36,0,Non-New York City
Delaware,Colchester Town PD,2017,12,10,0,0,0,0,0,10,4,6,0,Non-New York City
Erie,Erie County Park PD,2017,12,10,0,0,0,0,0,10,1,9,0,Non-New York City
Queens,County Total,2017,12,32860,9184,50,495,2851,5788,23676,2721,19373,1582,New York City
Greene,Hunter Town PD,2017,6,8,0,0,0,0,0,8,0,7,1,Non-New York City
Schenectady,Glenville Town PD,2012,12,426,17,0,2,3,12,409,46,359,4,Non-New York City
Genesee,LeRoy Vg PD,2017,12,54,6,0,2,0,4,48,6,40,2,Non-New York City
Cortland,SUNY Police - Cortland,2009,12,82,0,0,0,0,0,82,18,64,0,Non-New York City
Livingston,SUNY Police - Geneseo,2009,12,120,2,0,1,0,1,118,9,109,0,Non-New York City
Albany,Albany City PD,2015,12,4273,823,5,49,240,529,3450,480,2851,119,Non-New York City
Schoharie,SUNY Police - Cobleskill,2008,12,84,2,0,1,1,0,82,17,64,1,Non-New York City
Clinton,SUNY Police - Plattsburgh,2013,12,97,0,0,0,0,0,97,12,85,0,Non-New York City
Rockland,Ramapo Town PD,2017,12,737,44,0,9,10,25,693,67,595,31,Non-New York City
Chautauqua,SUNY Police - Fredonia,2010,12,59,0,0,0,0,0,59,7,52,0,Non-New York City
Westchester,County Total,2015,,12235,2146,17,169,739,1221,10089,1306,8101,682,Non-New York City
Clinton,SUNY Police - Plattsburgh,2010,12,137,2,0,0,2,0,135,23,110,2,Non-New York City
Westchester,Tuckahoe Vg PD,2017,12,35,1,0,0,1,0,34,4,28,2,Non-New York City
Clinton,SUNY Police - Plattsburgh,2012,12,90,0,0,0,0,0,90,6,84,0,Non-New York City
Onondaga,SUNY Police - Upstate Medical,2011,12,102,1,0,0,0,1,101,0,100,1,Non-New York City
Broome,SUNY Police - Binghamton,2015,12,234,8,0,7,1,0,226,12,214,0,Non-New York City
Suffolk,Huntington Bay Vg PD,2017,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Greene,Coxsackie Vg PD,2017,12,13,0,0,0,0,0,13,2,11,0,Non-New York City
Albany,Colonie Town PD,2017,12,1986,84,0,4,24,56,1902,136,1712,54,Non-New York City
Oswego,SUNY Police - Oswego,2012,12,176,5,0,4,1,0,171,35,136,0,Non-New York City
Nassau,Nassau County MTA,2017,12,66,11,0,0,8,3,55,0,55,0,Non-New York City
Ulster,Ulster County State Police,2017,12,406,80,0,40,2,38,326,59,252,15,Non-New York City
Nassau,Sands Point Vg PD,2017,12,10,0,0,0,0,0,10,1,8,1,Non-New York City
Schenectady,Niskayuna Town PD,2008,12,391,11,0,0,5,6,380,26,343,11,Non-New York City
Oneida,SUNY Police - Polytechnic Institute,2008,12,21,1,0,1,0,0,20,3,17,0,Non-New York City
Rockland,Ramapo Town PD,2016,12,739,77,1,11,10,55,662,63,565,34,Non-New York City
Monroe,Webster Town and Vg PD,2017,12,443,32,0,15,7,10,411,47,355,9,Non-New York City
Orange,Middletown City PD,2017,12,761,103,2,11,37,53,658,75,572,11,Non-New York City
Westchester,Buchanan Vg PD,2013,12,5,1,0,1,0,0,4,0,4,0,Non-New York City
Allegany,SUNY Police - Alfred,2017,12,64,3,0,0,0,3,61,6,53,2,Non-New York City
Orleans,Albion Vg PD,2013,12,245,23,0,3,4,16,222,52,166,4,Non-New York City
Westchester,Yorktown Town PD,2017,12,229,12,0,3,2,7,217,31,180,6,Non-New York City
Westchester,Croton-On-Hudson Vg PD,2017,12,42,4,0,1,0,3,38,2,33,3,Non-New York City
Ulster,Ashokan PCT (NYC-DEPP),2017,12,1,0,0,0,0,0,1,0,0,1,Non-New York City
Suffolk,SUNY Police - Farmingdale,2014,12,39,0,0,0,0,0,39,1,38,0,Non-New York City
Orange,Washingtonville Vg PD,2017,12,36,3,0,0,1,2,33,4,28,1,Non-New York City
Ulster,Plattekill Town PD,2017,12,62,7,0,0,2,5,55,10,42,3,Non-New York City
Nassau,Lynbrook Vg PD,2017,12,120,18,0,1,7,10,102,13,79,10,Non-New York City
Tompkins,Ithaca College PD,2017,12,86,11,0,11,0,0,75,7,68,0,Non-New York City
Schenectady,County Total,2012,,5592,691,7,37,226,421,4901,1060,3647,194,Non-New York City
Westchester,Pelham Vg PD,2016,12,91,6,0,0,1,5,85,7,74,4,Non-New York City
St Lawrence,SUNY Police - Canton,2010,12,62,1,0,0,0,1,61,3,58,0,Non-New York City
Orange,Harriman Vg PD,2017,12,21,1,0,0,1,0,20,0,17,3,Non-New York City
Wyoming,Warsaw Vg PD,2017,12,40,4,0,1,0,3,36,3,32,1,Non-New York City
Suffolk,Quogue Vg PD,2017,12,25,0,0,0,0,0,25,1,22,2,Non-New York City
Fulton,Fulton County Sheriff,2017,12,333,22,0,8,1,13,311,42,261,8,Non-New York City
Suffolk,Southampton Town PD,2017,12,674,62,0,11,11,40,612,82,494,36,Non-New York City
Madison,SUNY Police - Morrisville,2011,12,84,8,0,2,0,6,76,23,51,2,Non-New York City
Niagara,Lockport City PD,2017,7,414,57,0,1,17,39,357,72,266,19,Non-New York City
Cortland,Cortland City PD,2017,12,335,16,0,2,8,6,319,52,260,7,Non-New York City
Dutchess,Fishkill Town PD,2017,12,128,7,0,0,5,2,121,10,107,4,Non-New York City
Suffolk,SUNY Police - Stony Brook,2016,12,264,14,0,3,1,10,250,17,232,1,Non-New York City
Clinton,SUNY Police - Plattsburgh,2008,12,138,5,0,1,2,2,133,37,96,0,Non-New York City
Albany,Albany City PD,2016,12,4320,849,2,58,248,541,3471,491,2869,111,Non-New York City
Livingston,SUNY Police - Geneseo,2013,12,95,6,0,5,0,1,89,9,80,0,Non-New York City
Orange,Montgomery Town PD,2017,10,47,9,0,5,0,4,38,11,24,3,Non-New York City
Albany,Bethlehem Town PD,2017,12,506,19,0,5,3,11,487,43,437,7,Non-New York City
Westchester,Hastings-on-Hudson Vg PD,2017,12,69,3,0,0,1,2,66,5,59,2,Non-New York City
Rensselaer,Rensselaer County State Police,2017,12,429,46,0,32,3,11,383,79,289,15,Non-New York City
Oswego,Central Square Vg PD,2017,12,32,0,0,0,0,0,32,0,31,1,Non-New York City
Allegany,SUNY Police - Alfred,2011,12,97,4,0,1,1,2,93,13,79,1,Non-New York City
Schoharie,Schoharie County State Police,2017,12,139,17,0,10,0,7,122,43,69,10,Non-New York City
Warren,Warren County State Police,2017,12,275,29,0,20,1,8,246,34,208,4,Non-New York City
Suffolk,Lloyd Harbor Vg PD,2017,12,11,2,0,0,0,2,9,0,9,0,Non-New York City
Otsego,SUNY Police - Oneonta,2010,12,71,2,0,2,0,0,69,13,56,0,Non-New York City
Orleans,Orleans County Sheriff,2017,12,264,18,0,5,0,13,246,34,203,9,Non-New York City
Nassau,Nassau County State Police,2017,12,18,5,1,1,0,3,13,2,8,3,Non-New York City
Oneida,New Hartford Town and Vg PD,2015,12,850,12,1,3,5,3,838,46,787,5,Non-New York City
Erie,Erie County Sheriff,2017,12,695,49,2,0,12,35,646,92,542,12,Non-New York City
Nassau,SUNY Police - Old Westbury,2016,10,28,3,0,2,0,1,25,1,24,0,Non-New York City
Madison,SUNY Police - Morrisville,2015,12,46,4,0,3,1,0,42,11,31,0,Non-New York City
Herkimer,Herkimer County State Police,2017,12,245,46,1,25,0,20,199,55,127,17,Non-New York City
Franklin,County Total,2015,,841,88,0,53,5,30,753,149,590,14,Non-New York City
Nassau,SUNY Police - Old Westbury,2015,12,39,1,0,0,1,0,38,3,35,0,Non-New York City
Westchester,Briarcliff Manor Vg PD,2017,12,22,2,0,0,1,1,20,1,19,0,Non-New York City
Suffolk,Suffolk County State Police,2017,12,66,33,0,16,4,13,33,2,29,2,Non-New York City
Clinton,Rouses Point Vg PD,2017,5,5,0,0,0,0,0,5,0,5,0,Non-New York City
Ulster,Kingston City PD,2017,12,522,73,1,5,22,45,449,53,392,4,Non-New York City
Westchester,County Total,2016,,12537,2113,23,144,768,1178,10424,1327,8490,607,Non-New York City
Monroe,SUNY Police - Brockport,2011,12,102,5,0,2,0,3,97,4,90,3,Non-New York City
Westchester,Tarrytown Vg PD,2017,12,58,9,0,2,3,4,49,3,45,1,Non-New York City
Seneca,Seneca County State Police,2017,12,194,47,0,13,1,33,147,22,125,0,Non-New York City
Allegany,County Total,2017,,507,79,2,33,3,41,428,80,334,14,Non-New York City
Herkimer,County Total,2015,,1020,98,1,24,3,70,922,156,734,32,Non-New York City
Onondaga,Solvay Vg PD,2017,12,158,16,0,1,2,13,142,26,106,10,Non-New York City
Suffolk,SUNY Police - Farmingdale,2009,12,17,0,0,0,0,0,17,2,15,0,Non-New York City
Albany,Albany County Park PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Herkimer,Webb Town PD,2015,12,16,0,0,0,0,0,16,2,14,0,Non-New York City
Westchester,Elmsford Vg PD,2017,12,19,5,0,0,2,3,14,0,11,3,Non-New York City
Onondaga,SUNY Police - Environmental Science,2013,12,22,0,0,0,0,0,22,0,22,0,Non-New York City
Orange,Port Jervis City PD,2017,12,248,26,0,4,2,20,222,33,182,7,Non-New York City
Orange,Florida Vg PD,2017,12,5,1,0,0,0,1,4,1,3,0,Non-New York City
Clinton,SUNY Police - Plattsburgh,2014,12,56,2,0,1,1,0,54,9,45,0,Non-New York City
Wayne,Sodus Vg PD,2017,12,5,0,0,0,0,0,5,1,4,0,Non-New York City
Nassau,Nassau County PD,2017,12,11216,1113,10,28,416,659,10103,888,8768,447,Non-New York City
Lewis,Lewis County State Police,2017,12,107,21,0,17,0,4,86,37,45,4,Non-New York City
Madison,Canastota Vg PD,2017,12,67,3,0,0,0,3,64,9,54,1,Non-New York City
Albany,SUNY Police - Albany,2010,12,237,3,0,1,0,2,234,60,170,4,Non-New York City
Wyoming,Wyoming County Sheriff,2017,12,164,21,0,8,3,10,143,39,94,10,Non-New York City
Dutchess,Dutchess County Park PD,2017,12,8,0,0,0,0,0,8,2,6,0,Non-New York City
Orange,Orange County MTA,2017,12,4,0,0,0,0,0,4,0,2,2,Non-New York City
Madison,Cazenovia Vg PD,2017,12,42,5,0,2,2,1,37,5,32,0,Non-New York City
Montgomery,Fort Plain Vg PD,2017,12,69,5,0,2,0,3,64,9,54,1,Non-New York City
Onondaga,SUNY Police - Upstate Medical,2017,12,110,5,0,0,1,4,105,7,93,5,Non-New York City
Dutchess,Dutchess County MTA,2017,12,12,0,0,0,0,0,12,1,10,1,Non-New York City
Oneida,SUNY Police - Polytechnic Institute,2015,12,13,1,0,1,0,0,12,0,12,0,Non-New York City
Putnam,Carmel Town PD,2017,12,134,9,1,0,3,5,125,23,99,3,Non-New York City
Wayne,Newark Vg PD,2017,12,262,37,0,9,3,25,225,23,200,2,Non-New York City
Suffolk,Nissequogue Vg PD,2017,12,7,0,0,0,0,0,7,1,6,0,Non-New York City
Broome,Vestal Town PD,2017,12,595,22,0,10,2,10,573,33,525,15,Non-New York City
Livingston,Mount Morris Vg PD,2017,12,73,6,0,0,2,4,67,7,57,3,Non-New York City
Erie,SUNY Police - Buffalo,2009,12,454,9,0,2,6,1,445,65,368,12,Non-New York City
Putnam,Kent Town PD,2017,12,63,1,0,1,0,0,62,9,53,0,Non-New York City
Nassau,Glen Cove City PD,2017,12,159,8,0,1,2,5,151,12,137,2,Non-New York City
Oswego,SUNY Police - Oswego,2010,12,129,3,0,0,1,2,126,21,104,1,Non-New York City
Monroe,SUNY Police - Brockport,2014,12,88,1,0,0,0,1,87,11,76,0,Non-New York City
Livingston,Nunda Town and Vg PD,2017,12,13,1,0,1,0,0,12,2,10,0,Non-New York City
Erie,SUNY Police - Buffalo State College,2010,12,184,9,0,1,1,7,175,48,126,1,Non-New York City
Niagara,Niagara County State Police,2017,12,265,42,0,27,6,9,223,35,176,12,Non-New York City
Fulton,Gloversville City PD,2017,12,426,64,0,27,9,28,362,48,306,8,Non-New York City
Clinton,SUNY Police - Plattsburgh,2015,12,70,0,0,0,0,0,70,2,68,0,Non-New York City
Nassau,Kings Point Vg PD,2017,12,12,2,0,0,1,1,10,1,6,3,Non-New York City
Westchester,North Castle Town PD,2017,12,60,3,0,0,1,2,57,6,47,4,Non-New York City
Tioga,County Total,2016,,463,63,1,25,4,33,400,79,302,19,Non-New York City
Westchester,Ardsley Vg PD,2017,12,37,2,0,1,0,1,35,8,26,1,Non-New York City
Erie,Evans Town PD,2014,12,273,27,0,2,4,21,246,50,183,13,Non-New York City
Chautauqua,Chautauqua County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Schoharie,SUNY Police - Cobleskill,2017,12,27,8,0,8,0,0,19,6,13,0,Non-New York City
Chautauqua,SUNY Police - Fredonia,2017,12,49,3,0,3,0,0,46,6,40,0,Non-New York City
Niagara,Youngstown Vg PD,2017,12,2,1,0,0,0,1,1,0,1,0,Non-New York City
Otsego,SUNY Police - Oneonta,2008,12,67,0,0,0,0,0,67,13,53,1,Non-New York City
Livingston,Mount Morris Vg PD,2016,12,88,12,0,2,1,9,76,11,61,4,Non-New York City
Allegany,SUNY Police - Alfred,2010,12,70,8,0,1,1,6,62,10,51,1,Non-New York City
Cortland,SUNY Police - Cortland,2017,12,50,3,0,3,0,0,47,10,37,0,Non-New York City
Chemung,Chemung County Sheriff,2017,12,274,9,2,0,1,6,265,32,228,5,Non-New York City
Nassau,Lake Success Vg PD,2017,12,20,1,0,0,0,1,19,4,12,3,Non-New York City
Nassau,SUNY Police - Old Westbury,2008,12,75,5,0,0,1,4,70,14,56,0,Non-New York City
Madison,SUNY Police - Morrisville,2013,12,69,4,0,1,2,1,65,10,55,0,Non-New York City
Oswego,SUNY Police - Oswego,2008,12,140,0,0,0,0,0,140,44,95,1,Non-New York City
Chenango,Norwich City PD,2017,12,215,26,0,14,0,12,189,22,167,0,Non-New York City
Kings,County Total,2017,12,49766,14593,111,709,4497,9276,35173,3659,29589,1925,New York City
Westchester,Mount Vernon City PD,2016,12,1691,459,11,31,156,261,1232,196,918,118,Non-New York City
Suffolk,SUNY Police - Stony Brook,2017,12,249,12,0,5,3,4,237,24,211,2,Non-New York City
Ulster,Shawangunk Town PD,2017,12,80,2,0,0,0,2,78,9,69,0,Non-New York City
Niagara,Niagara Falls City PD,2016,12,2968,565,3,14,199,349,2403,551,1666,186,Non-New York City
Albany,Altamont Vg PD,2017,11,4,0,0,0,0,0,4,0,4,0,Non-New York City
Suffolk,SUNY Police - Stony Brook,2010,12,593,12,0,1,3,8,581,105,469,7,Non-New York City
Oneida,Whitestown Town PD,2017,12,31,1,0,0,1,0,30,7,22,1,Non-New York City
Nassau,County Total,2015,,16358,1984,21,80,832,1051,14374,1709,11981,684,Non-New York City
Orange,Tuxedo Town PD,2016,12,2,0,0,0,0,0,2,2,0,0,Non-New York City
Wayne,Macedon Town and Vg PD,2015,12,116,2,0,1,0,1,114,14,100,0,Non-New York City
Allegany,SUNY Police - Alfred,2008,12,75,4,0,1,0,3,71,12,58,1,Non-New York City
Seneca,Seneca County Park PD,2017,12,6,0,0,0,0,0,6,1,5,0,Non-New York City
Suffolk,SUNY Police - Stony Brook,2013,12,300,13,0,2,3,8,287,26,260,1,Non-New York City
Albany,SUNY Police - Albany,2015,12,168,5,0,1,1,3,163,9,154,0,Non-New York City
Delaware,Hancock Vg PD,2017,12,14,0,0,0,0,0,14,3,11,0,Non-New York City
St Lawrence,SUNY Police - Canton,2014,12,57,0,0,0,0,0,57,12,44,1,Non-New York City
Onondaga,SUNY Police - Environmental Science,2010,12,16,0,0,0,0,0,16,1,15,0,Non-New York City
Yates,County Total,2017,,259,26,0,12,0,14,233,42,188,3,Non-New York City
Rensselaer,County Total,2016,,3658,472,4,63,114,291,3186,613,2420,153,Non-New York City
Allegany,Independence Town PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Westchester,Port Chester Vg PD,2017,12,371,49,0,2,23,24,322,29,280,13,Non-New York City
Wyoming,Wyoming County Park PD,2017,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Broome,Endicott Vg PD,2017,12,502,74,0,13,22,39,428,89,326,13,Non-New York City
Monroe,Rochester City PD,2016,12,9658,1845,44,161,670,970,7813,1475,5673,665,Non-New York City
Suffolk,SUNY Police - Stony Brook,2009,12,653,15,0,3,2,10,638,138,493,7,Non-New York City
Ontario,Ontario County Sheriff,2017,12,792,37,0,13,7,17,755,115,623,17,Non-New York City
Delaware,SUNY Police - Delhi,2017,12,29,2,0,2,0,0,27,1,26,0,Non-New York City
Delaware,Sidney Vg PD,2017,12,101,7,0,0,0,7,94,11,83,0,Non-New York City
Rensselaer,Rensselaer County Park PD,2017,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Cattaraugus,Cattaraugus County State Police,2017,12,267,48,0,28,3,17,219,57,154,8,Non-New York City
Cattaraugus,Cattaraugus Vg PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Genesee,County Total,2017,,1142,168,0,42,20,106,974,158,784,32,Non-New York City
Ulster,Woodstock Town PD,2017,12,64,2,0,1,1,0,62,16,46,0,Non-New York City
Oswego,SUNY Police - Oswego,2015,12,80,4,0,4,0,0,76,6,70,0,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2012,12,633,44,1,7,3,33,589,203,375,11,Non-New York City
Erie,Gowanda Vg PD,2017,12,21,1,0,0,0,1,20,6,11,3,Non-New York City
Steuben,Hammondsport Vg PD,2017,12,9,3,0,0,1,2,6,3,3,0,Non-New York City
Madison,Oneida City PD,2010,12,475,13,1,0,3,9,462,47,411,4,Non-New York City
St Lawrence,SUNY Police - Potsdam,2014,12,57,5,0,5,0,0,52,5,47,0,Non-New York City
Tompkins,Cornell University Police,2014,12,237,5,0,2,0,3,232,22,210,0,Non-New York City
Monroe,Brighton Town PD,2017,12,809,28,0,8,9,11,781,74,691,16,Non-New York City
Erie,Cheektowaga Town PD,2017,12,2483,187,1,14,82,90,2296,300,1908,88,Non-New York City
Genesee,County Total,2016,,1263,127,0,37,20,70,1136,204,881,51,Non-New York City
Columbia,Germantown Town PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Clinton,SUNY Police - Plattsburgh,2011,12,102,4,0,1,1,2,98,17,81,0,Non-New York City
Broome,SUNY Police - Binghamton,2014,12,215,1,0,1,0,0,214,17,196,1,Non-New York City
Herkimer,County Total,2016,,1062,121,0,31,11,79,941,151,769,21,Non-New York City
Oneida,Oneida County Sheriff,2015,12,484,48,0,31,0,17,436,98,309,29,Non-New York City
Essex,Moriah Town PD,2017,12,2,2,0,0,0,2,0,0,0,0,Non-New York City
Orange,Monroe Vg PD,2017,12,142,9,0,1,2,6,133,19,113,1,Non-New York City
Jefferson,Glen Park Vg PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Westchester,Mamaroneck Town PD,2017,12,61,1,0,0,0,1,60,5,55,0,Non-New York City
Schenectady,Niskayuna Town PD,2017,12,426,15,0,1,3,11,411,30,368,13,Non-New York City
